Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
317291~083-R	317291~083-R.maf	1021	210	631	0.55	0.83	0.62	0.71
323392~091-R	323392~091-R.maf	1126	229	861	0.51	0.83	0.57	0.67
324938~238-R	324938~238-R.maf	1269	100	526	0.67	0.93	0.71	0.8
325652~104-R	325652~104-R.maf	1054	140	545	0.61	0.88	0.66	0.75
326966~086-R	326966~086-R.maf	1896	72	1354	0.57	0.96	0.58	0.73
327498~153-R	327498~153-R.maf	1813	67	816	0.67	0.96	0.69	0.8
328373~195-R	328373~195-R.maf	2907	169	1073	0.7	0.95	0.73	0.82
328469~098-R	328469~098-R.maf	1183	133	413	0.68	0.9	0.74	0.81
328634~206-R	328634~206-R.maf	1126	173	683	0.57	0.87	0.62	0.72
331535~300-R	331535~300-R.maf	1242	118	528	0.66	0.91	0.7	0.79
331888~031-R	331888~031-R.maf	1108	42	639	0.62	0.96	0.63	0.76
332555~067-R4	332555~067-R4.maf	2517	334	663	0.72	0.88	0.79	0.83
333224~299-R	333224~299-R.maf	1114	35	505	0.67	0.97	0.69	0.8
337426~197-R	337426~197-R.maf	1033	189	629	0.56	0.85	0.62	0.72
337823~066-R	337823~066-R.maf	1152	97	510	0.65	0.92	0.69	0.79
341922~053-R	341922~053-R.maf	1245	76	587	0.65	0.94	0.68	0.79
343268~274-T	343268~274-T.maf	1417	169	706	0.62	0.89	0.67	0.76
346799~050-R	346799~050-R.maf	1199	58	670	0.62	0.95	0.64	0.77
361957~307-R	361957~307-R.maf	1157	123	651	0.6	0.9	0.64	0.75
365171~240-R	365171~240-R.maf	1765	288	1292	0.53	0.86	0.58	0.69
369146~172-R	369146~172-R.maf	1124	43	571	0.65	0.96	0.66	0.79
377594~074-R	377594~074-R.maf	1049	97	559	0.62	0.92	0.65	0.76
378893~306-R	378893~306-R.maf	1127	226	487	0.61	0.83	0.7	0.76
381356~305-R	381356~305-R.maf	1217	84	677	0.62	0.94	0.64	0.76
384518~221-R	384518~221-R.maf	1025	211	547	0.57	0.83	0.65	0.73
388244~064-R	388244~064-R.maf	2262	544	834	0.62	0.81	0.73	0.77
391268~213-R2	391268~213-R2.maf	1833	107	614	0.72	0.94	0.75	0.84
392184~169-R	392184~169-R.maf	1227	56	481	0.7	0.96	0.72	0.82
393732~063-R	393732~063-R.maf	1188	145	569	0.62	0.89	0.68	0.77
394938~205-R	394938~205-R.maf	2949	648	952	0.65	0.82	0.76	0.79
397859~316-R	397859~316-R.maf	1094	19367	718	0.05	0.05	0.6	0.1
412248~322-R	412248~322-R.maf	1027	216	731	0.52	0.83	0.58	0.68
412728~344-R	412728~344-R.maf	1813	199	1361	0.54	0.9	0.57	0.7
413552~270-R	413552~270-R.maf	1505	170	826	0.6	0.9	0.65	0.75
